name,local-authority
denbighshire county council,local-authority-wls:DEN
derby,local-authority-eng:DER
derby city,local-authority-eng:DER
derby city council,local-authority-eng:DER
derbyshire,local-authority-eng:DBY
derbyshire county,local-authority-eng:DBY
derbyshire county council,local-authority-eng:DBY
derry and strabane,local-authority-nir:DRS
derry city and strabane,local-authority-nir:DRS
devon,local-authority-eng:DEV
devon county,local-authority-eng:DEV
devon county council,local-authority-eng:DEV
doncaster,local-authority-eng:DNC
doncaster district,local-authority-eng:DNC
doncaster metropolitan borough council,local-authority-eng:DNC
dorset,local-authority-eng:DST
dorset county,local-authority-eng:DOR
dorset county council,local-authority-eng:DOR
dudley,local-authority-eng:DUD
dudley district,local-authority-eng:DUD
dudley metropolitan borough council,local-authority-eng:DUD
dumfries and galloway,local-authority-sct:DGY
dumfries and galloway council,local-authority-sct:DGY
dundee,local-authority-sct:DND
dundee city,local-authority-sct:DND
dundee city council,local-authority-sct:DND
durham,local-authority-eng:DUR
durham county council,local-authority-eng:DUR
ealing,local-authority-eng:EAL
ealing london boro,local-authority-eng:EAL
ease dunbartonshire,local-authority-sct:EDU
east ayrshire,local-authority-sct:EAY
east ayrshire council,local-authority-sct:EAY
east devon,local-authority-eng:EDE
east devon district,local-authority-eng:EDE
east devon district council,local-authority-eng:EDE
east dorset,local-authority-eng:EDO
east dorset district,local-authority-eng:EDO
east dorset district council,local-authority-eng:EDO
east dunbaronshire,local-authority-sct:EDU
east dunbarton,local-authority-sct:EDU
east dunbartonshire,local-authority-sct:EDU
east dunbartonshire council,local-authority-sct:EDU
east dunnbartonshire,local-authority-sct:EDU
east hampshire,local-authority-eng:EHA
east hampshire district,local-authority-eng:EHA
east hampshire district council,local-authority-eng:EHA
east hertfordshire,local-authority-eng:EHE
east hertfordshire district,local-authority-eng:EHE
east hertfordshire district council,local-authority-eng:EHE
east lindsey,local-authority-eng:ELI
east lindsey district,local-authority-eng:ELI
east lindsey district council,local-authority-eng:ELI
east lothian,local-authority-sct:ELN
east lothian council,local-authority-sct:ELN
east renfrewshire,local-authority-sct:ERW
east renfrewshire council,local-authority-sct:ERW
east riding of yorkshire,local-authority-eng:ERY
east riding of yorkshire council,local-authority-eng:ERY
east staffordshire,local-authority-eng:EST
east staffordshire borough council,local-authority-eng:EST
east staffordshire district,local-authority-eng:EST
east sussex,local-authority-eng:ESX
east sussex county,local-authority-eng:ESX
east sussex county council,local-authority-eng:ESX
edinburgh (city of),local-authority-sct:EDH
"edinburgh, city of",local-authority-sct:EDH
eilean,local-authority-sct:ELS
eilean siar,local-authority-sct:ELS
enfield,local-authority-eng:ENF
enfield london boro,local-authority-eng:ENF
essex,local-authority-eng:ESS
