entry-number,entry-timestamp,local-authority-eng,local-authority-type,local-authority-type-name,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,gss-code,old-ons-la-code,ualad99
309,2016-10-21T16:11:20Z,SEG,NMD,Non-metropolitan district,Sedgemoor District Council,Sedgemoor,,,,E07000188,40UC,
308,2016-10-21T16:11:20Z,MEN,NMD,Non-metropolitan district,Mendip District Council,Mendip,,,,E07000187,40UB,
307,2016-10-21T16:11:20Z,SOM,CTY,County,Somerset County Council,Somerset,,,,E10000027,933,40-00
306,2016-10-21T16:11:20Z,WAV,NMD,Non-metropolitan district,Waveney District Council,Waveney,,,,E07000206,42UH,
305,2016-10-21T16:11:20Z,SUF,NMD,Non-metropolitan district,Suffolk Coastal District Council,Suffolk Coastal,,,,E07000205,42UG,
304,2016-10-21T16:11:20Z,SED,NMD,Non-metropolitan district,St Edmundsbury Borough Council,St Edmundsbury,,,,E07000204,42UF,
303,2016-10-21T16:11:20Z,MSU,NMD,Non-metropolitan district,Mid Suffolk District Council,Mid Suffolk,,,,E07000203,42UE,
302,2016-10-21T16:11:20Z,IPS,NMD,Non-metropolitan district,Ipswich Borough Council,Ipswich,,,,E07000202,42UD,
301,2016-10-21T16:11:20Z,FOR,NMD,Non-metropolitan district,Forest Heath District Council,Forest Heath,,,,E07000201,42UC,
300,2016-10-21T16:11:20Z,BAB,NMD,Non-metropolitan district,Babergh District Council,Babergh,,,,E07000200,42UB,
299,2016-10-21T16:11:20Z,SFK,CTY,County,Suffolk County Council,Suffolk,,,,E10000029,935,42-00
298,2016-10-21T16:11:20Z,WOX,NMD,Non-metropolitan district,West Oxfordshire District Council,West Oxfordshire,,,,E07000181,38UF,
297,2016-10-21T16:11:20Z,VAL,NMD,Non-metropolitan district,Vale of White Horse District Council,Vale of White Horse,,,,E07000180,38UE,
296,2016-10-21T16:11:20Z,SOX,NMD,Non-metropolitan district,South Oxfordshire District Council,South Oxfordshire,,,,E07000179,38UD,
295,2016-10-21T16:11:20Z,OXO,NMD,Non-metropolitan district,Oxford City Council,Oxford,,,,E07000178,38UC,
294,2016-10-21T16:11:20Z,CHR,NMD,Non-metropolitan district,Cherwell District Council,Cherwell,,,,E07000177,38UB,
293,2016-10-21T16:11:20Z,OXF,CTY,County,Oxfordshire County Council,Oxfordshire,,,,E10000025,931,38-00
292,2016-10-21T16:11:20Z,SEL,NMD,Non-metropolitan district,Selby District Council,Selby,,,,E07000169,36UH,
291,2016-10-21T16:11:20Z,SCE,NMD,Non-metropolitan district,Scarborough Borough Council,Scarborough,,,,E07000168,36UG,
290,2016-10-21T16:11:20Z,RYE,NMD,Non-metropolitan district,Ryedale District Council,Ryedale,,,,E07000167,36UF,
289,2016-10-21T16:11:20Z,RIH,NMD,Non-metropolitan district,Richmondshire District Council,Richmondshire,,,,E07000166,36UE,
288,2016-10-21T16:11:20Z,HAG,NMD,Non-metropolitan district,Harrogate Borough Council,Harrogate,,,,E07000165,36UD,
287,2016-10-21T16:11:20Z,HAE,NMD,Non-metropolitan district,Hambleton District Council,Hambleton,,,,E07000164,36UC,
286,2016-10-21T16:11:20Z,CRA,NMD,Non-metropolitan district,Craven District Council,Craven,,,,E07000163,36UB,
285,2016-10-21T16:11:20Z,NYK,CTY,County,North Yorkshire County Council,North Yorkshire,,,,E10000023,815,36-00
284,2016-10-21T16:11:20Z,RUS,NMD,Non-metropolitan district,Rushcliffe Borough Council,Rushcliffe,,,,E07000176,37UJ,
283,2016-10-21T16:11:20Z,NEA,NMD,Non-metropolitan district,Newark and Sherwood District Council,Newark and Sherwood,Newark & Sherwood,,,E07000175,37UG,
282,2016-10-21T16:11:20Z,MAS,NMD,Non-metropolitan district,Mansfield District Council,Mansfield,,,,E07000174,37UF,
281,2016-10-21T16:11:20Z,GED,NMD,Non-metropolitan district,Gedling Borough Council,Gedling,,,,E07000173,37UE,
280,2016-10-21T16:11:20Z,BRT,NMD,Non-metropolitan district,Broxtowe Borough Council,Broxtowe,,,,E07000172,37UD,
279,2016-10-21T16:11:20Z,BAE,NMD,Non-metropolitan district,Bassetlaw District Council,Bassetlaw,,,,E07000171,37UC,
278,2016-10-21T16:11:20Z,ASH,NMD,Non-metropolitan district,Ashfield District Council,Ashfield,,,,E07000170,37UB,
277,2016-10-21T16:11:20Z,NTT,CTY,County,Nottinghamshire County Council,Nottinghamshire,,,,E10000024,891,37-00
276,2016-10-21T16:11:20Z,WEL,NMD,Non-metropolitan district,Wellingborough Borough Council,Wellingborough,,,,E07000156,34UH,
275,2016-10-21T16:11:20Z,SNR,NMD,Non-metropolitan district,South Northamptonshire Council,South Northamptonshire,,,,E07000155,34UG,
274,2016-10-21T16:11:20Z,NOR,NMD,Non-metropolitan district,Northampton Borough Council,Northampton,,,,E07000154,34UF,
273,2016-10-21T16:11:20Z,KET,NMD,Non-metropolitan district,Kettering Borough Council,Kettering,,,,E07000153,34UE,
272,2016-10-21T16:11:20Z,ENO,NMD,Non-metropolitan district,East Northamptonshire Council,East Northamptonshire,,,,E07000152,34UD,
271,2016-10-21T16:11:20Z,DAV,NMD,Non-metropolitan district,Daventry District Council,Daventry,,,,E07000151,34UC,
270,2016-10-21T16:11:20Z,COR,NMD,Non-metropolitan district,Corby Borough Council,Corby,,,,E07000150,34UB,
269,2016-10-21T16:11:20Z,NTH,CTY,County,Northamptonshire County Council,Northamptonshire,,,,E10000021,928,34-00
268,2016-10-21T16:11:20Z,SNO,NMD,Non-metropolitan district,South Norfolk District Council,South Norfolk,,,,E07000149,33UH,
267,2016-10-21T16:11:20Z,NOW,NMD,Non-metropolitan district,Norwich City Council,Norwich,,,,E07000148,33UG,
266,2016-10-21T16:11:20Z,NNO,NMD,Non-metropolitan district,North Norfolk District Council,North Norfolk,,,,E07000147,33UF,
265,2016-10-21T16:11:20Z,KIN,NMD,Non-metropolitan district,Borough Council of Kings Lynn and West Norfolk,Kings Lynn and West Norfolk,King's Lynn & West Norfolk,Kings Lynn & West Norfolk,,E07000146,33UE,
264,2016-10-21T16:11:20Z,GRY,NMD,Non-metropolitan district,Great Yarmouth Borough Council,Great Yarmouth,,,,E07000145,33UD,
263,2016-10-21T16:11:20Z,BRO,NMD,Non-metropolitan district,Broadland District Council,Broadland,,,,E07000144,33UC,
262,2016-10-21T16:11:20Z,BRE,NMD,Non-metropolitan district,Breckland District Council,Breckland,,,,E07000143,33UB,
261,2016-10-21T16:11:20Z,NFK,CTY,County,Norfolk County Council,Norfolk,,,,E10000020,926,33-00
260,2016-10-21T16:11:20Z,WLI,NMD,Non-metropolitan district,West Lindsey District Council,West Lindsey,,,,E07000142,32UH,
259,2016-10-21T16:11:20Z,SKE,NMD,Non-metropolitan district,South Kesteven District Council,South Kesteven,,,,E07000141,32UG,
258,2016-10-21T16:11:20Z,SHO,NMD,Non-metropolitan district,South Holland District Council,South Holland,,,,E07000140,32UF,
257,2016-10-21T16:11:20Z,NKE,NMD,Non-metropolitan district,North Kesteven District Council,North Kesteven,,,,E07000139,32UE,
256,2016-10-21T16:11:20Z,LIC,NMD,Non-metropolitan district,City of Lincoln Council,City of Lincoln,Lincoln,,,E07000138,32UD,
255,2016-10-21T16:11:20Z,ELI,NMD,Non-metropolitan district,East Lindsey District Council,East Lindsey,,,,E07000137,32UC,
254,2016-10-21T16:11:20Z,BOT,NMD,Non-metropolitan district,Boston Borough Council,Boston,,,,E07000136,32UB,
253,2016-10-21T16:11:20Z,LIN,CTY,County,Lincolnshire County Council,Lincolnshire,,,,E10000019,925,32-00
252,2016-10-21T16:11:20Z,OAD,NMD,Non-metropolitan district,Oadby and Wigston Borough Council,Oadby and Wigston,Oadby & Wigston,,,E07000135,31UJ,
251,2016-10-21T16:11:20Z,NWL,NMD,Non-metropolitan district,North West Leicestershire District Council,North West Leicestershire,,,,E07000134,31UH,
250,2016-10-21T16:11:20Z,MEL,NMD,Non-metropolitan district,Melton Borough Council,Melton,,,,E07000133,31UG,
249,2016-10-21T16:11:20Z,HIN,NMD,Non-metropolitan district,Hinckley and Bosworth Borough Council,Hinckley and Bosworth,Hinckley & Bosworth,,,E07000132,31UE,
248,2016-10-21T16:11:20Z,HAO,NMD,Non-metropolitan district,Harborough District Council,Harborough,,,,E07000131,31UD,
247,2016-10-21T16:11:20Z,CHA,NMD,Non-metropolitan district,Charnwood Borough Council,Charnwood,,,,E07000130,31UC,
246,2016-10-21T16:11:20Z,BLA,NMD,Non-metropolitan district,Blaby District Council,Blaby,,,,E07000129,31UB,
245,2016-10-21T16:11:20Z,LEC,CTY,County,Leicestershire County Council,Leicestershire,,,,E10000018,855,31-00
244,2016-10-21T16:11:20Z,WYR,NMD,Non-metropolitan district,Wyre Borough Council,Wyre,,,,E07000128,30UQ,
243,2016-10-21T16:11:20Z,WLA,NMD,Non-metropolitan district,West Lancashire Borough Council,West Lancashire,,,,E07000127,30UP,
242,2016-10-21T16:11:20Z,SRI,NMD,Non-metropolitan district,South Ribble Borough Council,South Ribble,,,,E07000126,30UN,
241,2016-10-21T16:11:20Z,ROS,NMD,Non-metropolitan district,Rossendale Borough Council,Rossendale,,,,E07000125,30UM,
240,2016-10-21T16:11:20Z,RIB,NMD,Non-metropolitan district,Ribble Valley Borough Council,Ribble Valley,,,,E07000124,30UL,
239,2016-10-21T16:11:20Z,PRE,NMD,Non-metropolitan district,Preston City Council,Preston,,,,E07000123,30UK,
238,2016-10-21T16:11:20Z,PEN,NMD,Non-metropolitan district,Pendle Borough Council,Pendle,,,,E07000122,30UJ,
237,2016-10-21T16:11:20Z,LAC,NMD,Non-metropolitan district,Lancaster City Council,Lancaster,,,,E07000121,30UH,
236,2016-10-21T16:11:20Z,HYN,NMD,Non-metropolitan district,Hyndburn Borough Council,Hyndburn,,,,E07000120,30UG,
235,2016-10-21T16:11:20Z,FYL,NMD,Non-metropolitan district,Fylde Borough Council,Fylde,,,,E07000119,30UF,
234,2016-10-21T16:11:20Z,CHO,NMD,Non-metropolitan district,Chorley Borough Council,Chorley,,,,E07000118,30UE,
233,2016-10-21T16:11:20Z,BUN,NMD,Non-metropolitan district,Burnley Borough Council,Burnley,,,,E07000117,30UD,
232,2016-10-21T16:11:20Z,LAN,CTY,County,Lancashire County Council,Lancashire,,,,E10000017,888,30-00
231,2016-10-21T16:11:20Z,TUN,NMD,Non-metropolitan district,Tunbridge Wells Borough Council,Tunbridge Wells,,,,E07000116,29UQ,
230,2016-10-21T16:11:20Z,TON,NMD,Non-metropolitan district,Tonbridge and Malling Borough Council,Tonbridge and Malling,Tonbridge & Malling,,,E07000115,29UP,
229,2016-10-21T16:11:20Z,THA,NMD,Non-metropolitan district,Thanet District Council,Thanet,,,,E07000114,29UN,
