Register,local-authority-code,register-and-code,local-authority-type,local-authority-type-name,overlapping-la,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,end-date,gss-code,archaic-gss-code,old-ons-la-code,ofcom,snac,os,ecode,notes
local-authority-eng,TAN,local-authority-eng:TAN,NMD,Non-metropolitan district,WAR,Tandridge District Council,Tandridge,,,,,E07000215,,43UK,,43UK,7000000000013870,E3639,
local-authority-eng,SUR,local-authority-eng:SUR,NMD,Non-metropolitan district,SRY,Surrey Heath Borough Council,Surrey Heath,,,,,E07000214,,43UJ,,43UJ,7000000000014060,E3638,
local-authority-eng,SPE,local-authority-eng:SPE,NMD,Non-metropolitan district,SRY,Spelthorne Borough Council,Spelthorne,,,,,E07000213,,43UH,,43UH,7000000000014160,E3637,
local-authority-eng,RUN,local-authority-eng:RUN,NMD,Non-metropolitan district,SRY,Runnymede Borough Council,Runnymede,,,,,E07000212,,43UG,,43UG,7000000000014060,E3636,
local-authority-eng,REI,local-authority-eng:REI,NMD,Non-metropolitan district,WAR,Reigate and Banstead Borough Council,Reigate and Banstead,Reigate & Banstead,,,,E07000211,,43UF,,43UF,7000000000013890,E3635,
local-authority-eng,MOL,local-authority-eng:MOL,NMD,Non-metropolitan district,WAR,Mole Valley District Council,Mole Valley,,,,,E07000210,,43UE,,43UE,7000000000044470,E3634,
local-authority-eng,GRT,local-authority-eng:GRT,NMD,Non-metropolitan district,SRY,Guildford Borough Council,Guildford,,,,,E07000209,,43UD,,43UD,7000000000014000,E3633,
local-authority-eng,EPS,local-authority-eng:EPS,NMD,Non-metropolitan district,WAR,Epsom and Ewell Borough Council,Epsom and Ewell,Epsom & Ewell,,,,E07000208,,43UC,,43UC,7000000000013940,E3632,
local-authority-eng,ELM,local-authority-eng:ELM,NMD,Non-metropolitan district,SRY,Elmbridge Borough Council,Elmbridge,,,,,E07000207,,43UB,,43UB,7000000000013980,E3631,
local-authority-eng,SRY,local-authority-eng:SRY,CTY,County,,Surrey County Council,Surrey,,,,,E10000030,,936,43-00,43,7000000000013960,E3620,
local-authority-eng,WSO,local-authority-eng:WSO,NMD,Non-metropolitan district,SOM,West Somerset District Council,West Somerset,,,,,E07000191,,40UF,,40UF,7000000000010680,E3335,
local-authority-eng,TAU,local-authority-eng:TAU,NMD,Non-metropolitan district,SOM,Taunton Deane Borough Council,Taunton Deane,,,,,E07000190,,40UE,,40UE,7000000000010370,E3333,
local-authority-eng,SSO,local-authority-eng:SSO,NMD,Non-metropolitan district,SOM,South Somerset District Council,South Somerset,,,,,E07000189,,40UD,,40UD,7000000000010490,E3334,
local-authority-eng,SEG,local-authority-eng:SEG,NMD,Non-metropolitan district,SOM,Sedgemoor District Council,Sedgemoor,,,,,E07000188,,40UC,,40UC,7000000000010570,E3332,
local-authority-eng,MEN,local-authority-eng:MEN,NMD,Non-metropolitan district,SOM,Mendip District Council,Mendip,,,,,E07000187,,40UB,,40UB,7000000000043460,E3331,
local-authority-eng,SOM,local-authority-eng:SOM,CTY,County,,Somerset County Council,Somerset,,,,,E10000027,,933,40-00,40,7000000000010570,E3320,
local-authority-eng,WAV,local-authority-eng:WAV,NMD,Non-metropolitan district,SFK,Waveney District Council,Waveney,,,,,E07000206,,42UH,,42UH,7000000000015440,E3537,
local-authority-eng,SUF,local-authority-eng:SUF,NMD,Non-metropolitan district,SFK,Suffolk Coastal District Council,Suffolk Coastal,,,,,E07000205,,42UG,,42UG,7000000000015500,E3536,
local-authority-eng,SED,local-authority-eng:SED,NMD,Non-metropolitan district,SFK,St Edmundsbury Borough Council,St Edmundsbury,,,,,E07000204,,42UF,,42UF,7000000000015640,E3535,
local-authority-eng,MSU,local-authority-eng:MSU,NMD,Non-metropolitan district,SFK,Mid Suffolk District Council,Mid Suffolk,,,,,E07000203,,42UE,,42UE,7000000000015670,E3534,
local-authority-eng,IPS,local-authority-eng:IPS,NMD,Non-metropolitan district,SFK,Ipswich Borough Council,Ipswich,,,,,E07000202,,42UD,,42UD,7000000000015310,E3533,
local-authority-eng,FOR,local-authority-eng:FOR,NMD,Non-metropolitan district,SRY,Forest Heath District Council,Forest Heath,,,,,E07000201,,42UC,,42UC,7000000000015860,E3532,
local-authority-eng,BAB,local-authority-eng:BAB,NMD,Non-metropolitan district,SFK,Babergh District Council,Babergh,,,,,E07000200,,42UB,,42UB,7000000000015690,E3531,
local-authority-eng,SFK,local-authority-eng:SFK,CTY,County,,Suffolk County Council,Suffolk,,,,,E10000029,,935,42-00,42,7000000000015930,E3520,
local-authority-eng,WOX,local-authority-eng:WOX,NMD,Non-metropolitan district,OXF,West Oxfordshire District Council,West Oxfordshire,,,,,E07000181,,38UF,,38UF,7000000000008570,E3135,
local-authority-eng,VAL,local-authority-eng:VAL,NMD,Non-metropolitan district,OXF,Vale of White Horse District Council,Vale of White Horse,,,,,E07000180,,38UE,,38UE,7000000000008430,E3134,
local-authority-eng,SOX,local-authority-eng:SOX,NMD,Non-metropolitan district,OXF,South Oxfordshire District Council,South Oxfordshire,,,,,E07000179,,38UD,,38UD,7000000000008250,E3133,
local-authority-eng,OXO,local-authority-eng:OXO,NMD,Non-metropolitan district,OXF,Oxford City Council,Oxford,,,,,E07000178,,38UC,,38UC,7000000000008440,E3132,
local-authority-eng,CHR,local-authority-eng:CHR,NMD,Non-metropolitan district,OXF,Cherwell District Council,Cherwell,,,,,E07000177,,38UB,,38UB,7000000000008500,E3131,
local-authority-eng,OXF,local-authority-eng:OXF,CTY,County,,Oxfordshire County Council,Oxfordshire,,,,,E10000025,,931,38-00,38,7000000000008320,E3120,
local-authority-eng,SEL,local-authority-eng:SEL,NMD,Non-metropolitan district,NYK,Selby District Council,Selby,,,,,E07000169,,36UH,,36UH,7000000000021050,E2757,
local-authority-eng,SCE,local-authority-eng:SCE,NMD,Non-metropolitan district,NTT,Scarborough Borough Council,Scarborough,,,,,E07000168,,36UG,,36UG,7000000000021350,E2736,
local-authority-eng,RYE,local-authority-eng:RYE,NMD,Non-metropolitan district,NYK,Ryedale District Council,Ryedale,,,,,E07000167,,36UF,,36UF,7000000000021290,E2755,
local-authority-eng,RIH,local-authority-eng:RIH,NMD,Non-metropolitan district,NYK,Richmondshire District Council,Richmondshire,,,,,E07000166,,36UE,,36UE,7000000000021980,E2734,
