Register,local-authority-code,register-and-code,local-authority-type,local-authority-type-name,overlapping-la,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,end-date,gss-code,archaic-gss-code,old-ons-la-code,ofcom,snac,os,ecode,notes
local-authority-eng,HRT,local-authority-eng:HRT,CTY,County,,Hertfordshire County Council,Hertfordshire,,,,,E10000015,,919,26-00,26,7000000000003900,E1920,
local-authority-eng,WIN,local-authority-eng:WIN,NMD,Non-metropolitan district,HAM,Winchester City Council,Winchester,,,,,E07000094,,24UP,,24UP,7000000000017750,E1743,
local-authority-eng,TES,local-authority-eng:TES,NMD,Non-metropolitan district,HRT,Test Valley Borough Council,Test Valley,,,,,E07000093,,24UN,,24UN,7000000000043510,E1742,
local-authority-eng,RUH,local-authority-eng:RUH,NMD,Non-metropolitan district,HRT,Rushmoor Borough Council,Rushmoor,,,,,E07000092,,24UL,,24UL,7000000000017270,E1740,
local-authority-eng,NEW,local-authority-eng:NEW,NMD,Non-metropolitan district,HRT,New Forest District Council,New Forest,,,,,E07000091,,24UJ,,24UJ,7000000000017730,E1738,
local-authority-eng,HAA,local-authority-eng:HAA,NMD,Non-metropolitan district,HAM,Havant Borough Council,Havant,,,,,E07000090,,24UH,,24UH,7000000000017290,E1737,
local-authority-eng,HAT,local-authority-eng:HAT,NMD,Non-metropolitan district,HAM,Hart District Council,Hart,,,,,E07000089,,24UG,,24UG,7000000000017480,E1736,
local-authority-eng,GOS,local-authority-eng:GOS,NMD,Non-metropolitan district,HAM,Gosport Borough Council,Gosport,,,,,E07000088,,24UF,,24UF,7000000000017370,E1735,
local-authority-eng,FAR,local-authority-eng:FAR,NMD,Non-metropolitan district,HAM,Fareham Borough Council,Fareham,,,,,E07000087,,24UE,,24UE,7000000000017540,E1734,
local-authority-eng,EAT,local-authority-eng:EAT,NMD,Non-metropolitan district,HRT,Eastleigh Borough Council,Eastleigh,,,,,E07000086,,24UD,,24UD,7000000000017590,E1733,
local-authority-eng,EHA,local-authority-eng:EHA,NMD,Non-metropolitan district,HAM,East Hampshire District Council,East Hampshire,,,,,E07000085,,24UC,,24UC,7000000000017310,E1732,
local-authority-eng,BAN,local-authority-eng:BAN,NMD,Non-metropolitan district,HRT,Basingstoke and Deane Borough Council,Basingstoke and Deane,Basingstoke & Deane,,,,E07000084,,24UB,,24UB,7000000000017650,E1731,
local-authority-eng,HAM,local-authority-eng:HAM,CTY,County,,Hampshire County Council,Hampshire,,,,,E10000014,,850,24-00,24,7000000000017760,E1721,
local-authority-eng,TEW,local-authority-eng:TEW,NMD,Non-metropolitan district,GLS,Tewkesbury Borough Council,Tewkesbury,,,,,E07000083,,23UG,,23UG,7000000000020380,E1636,
local-authority-eng,STO,local-authority-eng:STO,NMD,Non-metropolitan district,GLS,Stroud District Council,Stroud,,,,,E07000082,,23UF,,23UF,7000000000020570,E1635,
local-authority-eng,GLO,local-authority-eng:GLO,NMD,Non-metropolitan district,GLS,Gloucester City Council,Gloucester,,,,,E07000081,,23UE,,23UE,7000000000020390,E1634,
local-authority-eng,FOE,local-authority-eng:FOE,NMD,Non-metropolitan district,GLS,Forest of Dean District Council,Forest of Dean,,,,,E07000080,,23UD,,23UD,7000000000020500,E1633,
local-authority-eng,COT,local-authority-eng:COT,NMD,Non-metropolitan district,GLS,Cotswold District Council,Cotswold,,,,,E07000079,,23UC,,23UC,7000000000020220,E1632,
local-authority-eng,CHT,local-authority-eng:CHT,NMD,Non-metropolitan district,GLS,Cheltenham Borough Council,Cheltenham,,,,,E07000078,,23UB,,23UB,7000000000020270,E1631,
local-authority-eng,GLS,local-authority-eng:GLS,CTY,County,,Gloucestershire County Council,Gloucestershire,,,,,E10000013,,916,23-00,23,7000000000020610,E1620,
local-authority-eng,WSM,local-authority-eng:WSM,LBO,London borough,GLA,City of Westminster,Westminster,,,,,E09000033,,213,,00BK,7000000000011160,E5022,
local-authority-eng,WND,local-authority-eng:WND,LBO,London borough,GLA,London Borough of Wandsworth,Wandsworth,,,,,E09000032,,212,,00BJ,7000000000011120,E5021,
local-authority-eng,WFT,local-authority-eng:WFT,LBO,London borough,GLA,London Borough of Waltham Forest,Waltham Forest,,,,,E09000031,,320,,00BH,7000000000011210,E5049,
local-authority-eng,TWH,local-authority-eng:TWH,LBO,London borough,GLA,London Borough of Tower Hamlets,Tower Hamlets,,,,,E09000030,,211,,00BG,7000000000011180,E5020,
local-authority-eng,SWK,local-authority-eng:SWK,LBO,London borough,GLA,London Borough of Southwark,Southwark,,,,,E09000028,,210,,00BE,7000000000011010,E5019,
local-authority-eng,STN,local-authority-eng:STN,LBO,London borough,GLA,London Borough of Sutton,Sutton,,,,,E09000029,,319,,00BF,7000000000010870,E5048,
local-authority-eng,RIC,local-authority-eng:RIC,LBO,London borough,GLA,London Borough of Richmond upon Thames,Richmond upon Thames,,,,,E09000027,,318,,00BD,7000000000011420,E5047,
local-authority-eng,RDB,local-authority-eng:RDB,LBO,London borough,GLA,London Borough of Redbridge,Redbridge,,,,,E09000026,,317,,00BC,7000000000010950,E5046,
local-authority-eng,NWM,local-authority-eng:NWM,LBO,London borough,GLA,London Borough of Newham,Newham,,,,,E09000025,,316,,00BB,7000000000010920,E5045,
local-authority-eng,MRT,local-authority-eng:MRT,LBO,London borough,GLA,London Borough of Merton,Merton,,,,,E09000024,,315,,00BA,7000000000010990,E5044,
local-authority-eng,LEW,local-authority-eng:LEW,LBO,London borough,GLA,London Borough of Lewisham,Lewisham,,,,,E09000023,,209,,00AZ,7000000000011030,E5018,
local-authority-eng,LBH,local-authority-eng:LBH,LBO,London borough,GLA,London Borough of Lambeth,Lambeth,,,,,E09000022,,208,,00AY,7000000000011140,E5017,
local-authority-eng,KTT,local-authority-eng:KTT,LBO,London borough,GLA,Royal Borough of Kingston upon Thames,Kingston upon Thames,,,,,E09000021,,314,,00AX,7000000000011410,E5043,
local-authority-eng,KEC,local-authority-eng:KEC,LBO,London borough,GLA,Royal Borough of Kensington and Chelsea,Kensington and Chelsea,Kensington & Chelsea,,,,E09000020,,207,,00AW,7000000000011270,E5016,
local-authority-eng,ISL,local-authority-eng:ISL,LBO,London borough,GLA,London Borough of Islington,Islington,,,,,E09000019,,206,,00AU,7000000000011280,E5015,
local-authority-eng,HRY,local-authority-eng:HRY,LBO,London borough,GLA,London Borough of Haringey,Haringey,,,,,E09000014,,309,,00AP,7000000000011290,E5038,
local-authority-eng,HRW,local-authority-eng:HRW,LBO,London borough,GLA,London Borough of Harrow,Harrow,,,,,E09000015,,310,,00AQ,7000000000011390,E5039,
local-authority-eng,HNS,local-authority-eng:HNS,LBO,London borough,GLA,London Borough of Hounslow,Hounslow,,,,,E09000018,,313,,00AT,7000000000011480,E5042,
local-authority-eng,HMF,local-authority-eng:HMF,LBO,London borough,GLA,London Borough of Hammersmith & Fulham,Hammersmith and Fulham,Hammersmith & Fulham,,,,E09000013,,205,,00AN,7000000000011250,E5014,
local-authority-eng,HIL,local-authority-eng:HIL,LBO,London borough,GLA,London Borough of Hillingdon,Hillingdon,,,,,E09000017,,312,,00AS,7000000000011530,E5041,
local-authority-eng,HCK,local-authority-eng:HCK,LBO,London borough,GLA,London Borough of Hackney,Hackney,,,,,E09000012,,204,,00AM,7000000000011190,E5013,
local-authority-eng,HAV,local-authority-eng:HAV,LBO,London borough,GLA,London Borough of Havering,Havering,,,,,E09000016,,311,,00AR,7000000000010800,E5040,
local-authority-eng,GRE,local-authority-eng:GRE,LBO,London borough,GLA,Royal Borough of Greenwich,Greenwich,,,,,E09000011,,203,,00AL,7000000000010770,E5012,
local-authority-eng,ENF,local-authority-eng:ENF,LBO,London borough,GLA,London Borough of Enfield,Enfield,,,,,E09000010,,308,,00AK,7000000000011320,E5037,
local-authority-eng,EAL,local-authority-eng:EAL,LBO,London borough,GLA,London Borough of Ealing,Ealing,,,,,E09000009,,307,,00AJ,7000000000011390,E5036,
local-authority-eng,CRY,local-authority-eng:CRY,LBO,London borough,GLA,London Borough of Croydon,Croydon,,,,,E09000008,,306,,00AH,7000000000010890,E5035,
local-authority-eng,CMD,local-authority-eng:CMD,LBO,London borough,GLA,London Borough of Camden,Camden,,,,,E09000007,,202,,00AG,7000000000011240,E5011,
local-authority-eng,BRY,local-authority-eng:BRY,LBO,London borough,GLA,London Borough of Bromley,Bromley,,,,,E09000006,,305,,00AF,7000000000010770,E5034,
local-authority-eng,BNE,local-authority-eng:BNE,LBO,London borough,GLA,London Borough of Barnet,Barnet,,,,,E09000003,,302,,00AC,7000000000011370,E5031,
local-authority-eng,BEX,local-authority-eng:BEX,LBO,London borough,GLA,London Borough of Bexley,Bexley,,,,,E09000004,,303,,00AD,7000000000010750,E5032,
local-authority-eng,BEN,local-authority-eng:BEN,LBO,London borough,GLA,London Borough of Brent,Brent,,,,,E09000005,,304,,00AE,7000000000011440,E5033,
local-authority-eng,BDG,local-authority-eng:BDG,LBO,London borough,GLA,London Borough of Barking and Dagenham,Barking and Dagenham,Barking & Dagenham,,,,E09000002,,301,,00AB,7000000000010940,E5030,
local-authority-eng,WEA,local-authority-eng:WEA,NMD,Non-metropolitan district,ESX,Wealden District Council,Wealden,,,,,E07000065,,21UH,,21UH,7000000000002670,E1437,
local-authority-eng,ROH,local-authority-eng:ROH,NMD,Non-metropolitan district,ESX,Rother District Council,Rother,,,,,E07000064,,21UG,,21UG,7000000000002850,E1436,
local-authority-eng,LEE,local-authority-eng:LEE,NMD,Non-metropolitan district,ESX,Lewes District Council,Lewes,,,,,E07000063,,21UF,,21UF,7000000000002890,E1435,
local-authority-eng,HAS,local-authority-eng:HAS,NMD,Non-metropolitan district,ESX,Hastings Borough Council,Hastings,,,,,E07000062,,21UD,,21UD,7000000000002580,E1433,
local-authority-eng,EAS,local-authority-eng:EAS,NMD,Non-metropolitan district,ESX,Eastbourne Borough Council,Eastbourne,,,,,E07000061,,21UC,,21UC,7000000000002630,E1432,
local-authority-eng,ESX,local-authority-eng:ESX,CTY,County,,East Sussex County Council,East Sussex,,,,,E10000011,,845,21-00,21,7000000000002620,E1421,
local-authority-eng,UTT,local-authority-eng:UTT,NMD,Non-metropolitan district,GLS,Uttlesford District Council,Uttlesford,,,,,E07000077,,22UQ,,22UQ,7000000000020030,E1544,
local-authority-eng,TEN,local-authority-eng:TEN,NMD,Non-metropolitan district,GLS,Tendring District Council,Tendring,,,,,E07000076,,22UN,,22UN,7000000000019540,E1542,
local-authority-eng,ROC,local-authority-eng:ROC,NMD,Non-metropolitan district,ESS,Rochford District Council,Rochford,,,,,E07000075,,22UL,,22UL,7000000000019620,E1540,
local-authority-eng,MAL,local-authority-eng:MAL,NMD,Non-metropolitan district,GLS,Maldon District Council,Maldon,,,,,E07000074,,22UK,,22UK,7000000000019500,E1539,
local-authority-eng,HAR,local-authority-eng:HAR,NMD,Non-metropolitan district,ESS,Harlow District Council,Harlow,,,,,E07000073,,22UJ,,22UJ,7000000000020080,E1538,
local-authority-eng,EPP,local-authority-eng:EPP,NMD,Non-metropolitan district,ESS,Epping Forest District Council,Epping Forest,,,,,E07000072,,22UH,,22UH,7000000000019960,E1537,
local-authority-eng,COL,local-authority-eng:COL,NMD,Non-metropolitan district,GLS,Colchester Borough Council,Colchester,,,,,E07000071,,22UG,,22UG,7000000000019560,E1536,
local-authority-eng,CHL,local-authority-eng:CHL,NMD,Non-metropolitan district,GLS,Chelmsford City Council,Chelmsford,,,,,E07000070,,22UF,,22UF,7000000000019700,E1535,
local-authority-eng,CAS,local-authority-eng:CAS,NMD,Non-metropolitan district,ESS,Castle Point Borough Council,Castle Point,,,,,E07000069,,22UE,,22UE,7000000000019450,E1534,
local-authority-eng,BRW,local-authority-eng:BRW,NMD,Non-metropolitan district,ESS,Brentwood Borough Council,Brentwood,,,,,E07000068,,22UD,,22UD,7000000000019980,E1533,
local-authority-eng,BRA,local-authority-eng:BRA,NMD,Non-metropolitan district,GLS,Braintree District Council,Braintree,,,,,E07000067,,22UC,,22UC,7000000000019790,E1532,
local-authority-eng,BAI,local-authority-eng:BAI,NMD,Non-metropolitan district,ESS,Basildon Borough Council,Basildon,,,,,E07000066,,22UB,,22UB,7000000000019730,E1531,
local-authority-eng,ESS,local-authority-eng:ESS,CTY,County,,Essex County Council,Essex,,,,,E10000012,,881,22-00,22,7000000000019680,E1521,
local-authority-eng,WEY,local-authority-eng:WEY,NMD,Non-metropolitan district,DOR,Weymouth and Portland Borough Council,Weymouth and Portland,Weymouth & Portland,,,,E07000053,,19UJ,,19UJ,7000000000014500,E1238,
local-authority-eng,WDO,local-authority-eng:WDO,NMD,Non-metropolitan district,DOR,West Dorset District Council,West Dorset,,,,,E07000052,,19UH,,19UH,7000000000014530,E1237,
local-authority-eng,PUR,local-authority-eng:PUR,NMD,Non-metropolitan district,DOR,Purbeck District Council,Purbeck,,,,,E07000051,,19UG,,19UG,7000000000014360,E1236,
local-authority-eng,NDO,local-authority-eng:NDO,NMD,Non-metropolitan district,DOR,North Dorset District Council,North Dorset,,,,,E07000050,,19UE,,19UE,7000000000014450,E1234,
local-authority-eng,EDO,local-authority-eng:EDO,NMD,Non-metropolitan district,DOR,East Dorset District Council,East Dorset,,,,,E07000049,,19UD,,19UD,7000000000014420,E1233,
local-authority-eng,CHC,local-authority-eng:CHC,NMD,Non-metropolitan district,DOR,Christchurch Borough Council,Christchurch,,,,,E07000048,,19UC,,19UC,7000000000014200,E1232,
local-authority-eng,DOR,local-authority-eng:DOR,CTY,County,,Dorset County Council,Dorset,,,,,E10000009,,835,19-00,19,7000000000014360,E1221,
local-authority-eng,WDE,local-authority-eng:WDE,NMD,Non-metropolitan district,DEV,West Devon Borough Council,West Devon,,,,,E07000047,,18UL,,18UL,7000000000022760,E1140,
local-authority-eng,TOR,local-authority-eng:TOR,NMD,Non-metropolitan district,DEV,Torridge District Council,Torridge,,,,,E07000046,,18UK,,18UK,7000000000022970,E1139,
local-authority-eng,TEI,local-authority-eng:TEI,NMD,Non-metropolitan district,DOR,Teignbridge District Council,Teignbridge,,,,,E07000045,,18UH,,18UH,7000000000022880,E1137,
local-authority-eng,SHA,local-authority-eng:SHA,NMD,Non-metropolitan district,DOR,South Hams District Council,South Hams,,,,,E07000044,,18UG,,18UG,7000000000022560,E1136,
local-authority-eng,NDE,local-authority-eng:NDE,NMD,Non-metropolitan district,DEV,North Devon District Council,North Devon,,,,,E07000043,,18UE,,18UE,7000000000022930,E1134,
local-authority-eng,MDE,local-authority-eng:MDE,NMD,Non-metropolitan district,DEV,Mid Devon District Council,Mid Devon,,,,,E07000042,,18UD,,18UD,7000000000022900,E1133,
local-authority-eng,EXE,local-authority-eng:EXE,NMD,Non-metropolitan district,DEV,Exeter City Council,Exeter,,,,,E07000041,,18UC,,18UC,7000000000022600,E1132,
local-authority-eng,EDE,local-authority-eng:EDE,NMD,Non-metropolitan district,DEV,East Devon District Council,East Devon,,,,,E07000040,,18UB,,18UB,7000000000022710,E1131,
local-authority-eng,DEV,local-authority-eng:DEV,CTY,County,,Devon County Council,Devon,,,,,E10000008,,878,18-00,18,7000000000023140,E1121,
local-authority-eng,SDE,local-authority-eng:SDE,NMD,Non-metropolitan district,DBY,South Derbyshire District Council,South Derbyshire,,,,,E07000039,,17UK,,17UK,7000000000013540,E1039,
local-authority-eng,NED,local-authority-eng:NED,NMD,Non-metropolitan district,DBY,North East Derbyshire District Council,North East Derbyshire,,,,,E07000038,,17UJ,,17UJ,7000000000013390,E1038,
local-authority-eng,HIG,local-authority-eng:HIG,NMD,Non-metropolitan district,DBY,High Peak Borough Council,High Peak,,,,,E07000037,,17UH,,17UH,7000000000013750,E1037,
local-authority-eng,ERE,local-authority-eng:ERE,NMD,Non-metropolitan district,DBY,Erewash Borough Council,Erewash,,,,,E07000036,,17UG,,17UG,7000000000013260,E1036,
local-authority-eng,DEB,local-authority-eng:DEB,NMD,Non-metropolitan district,DBY,Derbyshire Dales District Council,Derbyshire Dales,,,,,E07000035,,17UF,,17UF,7000000000013670,E1035,
local-authority-eng,CHS,local-authority-eng:CHS,NMD,Non-metropolitan district,DEV,Chesterfield Borough Council,Chesterfield,,,,,E07000034,,17UD,,17UD,7000000000013710,E1033,
local-authority-eng,BOS,local-authority-eng:BOS,NMD,Non-metropolitan district,DEV,Bolsover District Council,Bolsover,,,,,E07000033,,17UC,,17UC,7000000000013350,E1032,
local-authority-eng,AMB,local-authority-eng:AMB,NMD,Non-metropolitan district,DBY,Amber Valley Borough Council,Amber Valley,,,,,E07000032,,17UB,,17UB,7000000000013400,E1031,
local-authority-eng,DBY,local-authority-eng:DBY,CTY,County,,Derbyshire County Council,Derbyshire,,,,,E10000007,,830,17-00,17,7000000000013680,E1021,
local-authority-eng,DER,local-authority-eng:DER,UA,Unitary authority,,Derby City Council,Derby,Derby City UA,Derby UA,,,E06000015,,831,00-FK,00FK,7000000000037530,E1001,
local-authority-eng,SLA,local-authority-eng:SLA,NMD,Non-metropolitan district,CMA,South Lakeland District Council,South Lakeland,,,,,E07000031,,16UG,,16UG,7000000000012930,E0936,
local-authority-eng,EDN,local-authority-eng:EDN,NMD,Non-metropolitan district,CMA,Eden District Council,Eden,,,,,E07000030,,16UF,,16UF,7000000000013040,E0935,
local-authority-eng,COP,local-authority-eng:COP,NMD,Non-metropolitan district,CMA,Copeland Borough Council,Copeland,,,,,E07000029,,16UE,,16UE,7000000000012960,E0934,
local-authority-eng,CAR,local-authority-eng:CAR,NMD,Non-metropolitan district,CMA,Carlisle City Council,Carlisle,,,,,E07000028,,16UD,,16UD,7000000000012710,E0933,
local-authority-eng,BAR,local-authority-eng:BAR,NMD,Non-metropolitan district,CMA,Barrow-in-Furness Borough Council,Barrow-in-Furness,,,,,E07000027,,16UC,,16UC,7000000000012940,E0932,
local-authority-eng,ALL,local-authority-eng:ALL,NMD,Non-metropolitan district,CMA,Allerdale Borough Council,Allerdale,,,,,E07000026,,16UB,,16UB,7000000000013060,E0931,
local-authority-eng,CMA,local-authority-eng:CMA,CTY,County,,Cumbria County Council,Cumbria,,,,,E10000006,,909,16-00,16,7000000000013240,E0920,
local-authority-eng,SCA,local-authority-eng:SCA,NMD,Non-metropolitan district,CAM,South Cambridgeshire District Council,South Cambridgeshire,,,,,E07000012,,12UG,,12UG,7000000000001300,E0536,
local-authority-eng,HUN,local-authority-eng:HUN,NMD,Non-metropolitan district,CAM,Huntingdonshire District Council,Huntingdonshire,,,,,E07000011,,12UE,,12UE,7000000000001470,E0551,
local-authority-eng,FEN,local-authority-eng:FEN,NMD,Non-metropolitan district,CAM,Fenland District Council,Fenland,,,,,E07000010,,12UD,,12UD,7000000000001350,E0533,
local-authority-eng,ECA,local-authority-eng:ECA,NMD,Non-metropolitan district,CAM,East Cambridgeshire District Council,East Cambridgeshire,,,,,E07000009,,12UC,,12UC,7000000000001340,E0532,
local-authority-eng,CAB,local-authority-eng:CAB,NMD,Non-metropolitan district,CAM,Cambridge City Council,Cambridge,,,,,E07000008,,12UB,,12UB,7000000000001250,E0531,
local-authority-eng,CAM,local-authority-eng:CAM,CTY,County,,Cambridgeshire County Council,Cambridgeshire,,,,,E10000003,,873,12-00,12,7000000000001380,E0521,
local-authority-eng,WYO,local-authority-eng:WYO,NMD,Non-metropolitan district,BKM,Wycombe District Council,Wycombe,,,,,E07000007,,11UF,,11UF,7000000000011880,E0435,
local-authority-eng,SBU,local-authority-eng:SBU,NMD,Non-metropolitan district,BKM,South Bucks District Council,South Bucks,,,,,E07000006,,11UE,,11UE,7000000000011690,E0434,
local-authority-eng,CHN,local-authority-eng:CHN,NMD,Non-metropolitan district,BKM,Chiltern District Council,Chiltern,,,,,E07000005,,11UC,,11UC,7000000000011770,E0432,
local-authority-eng,AYL,local-authority-eng:AYL,NMD,Non-metropolitan district,BKM,Aylesbury Vale District Council,Aylesbury Vale,,,,,E07000004,,11UB,,11UB,7000000000011900,E0431,
local-authority-eng,BKM,local-authority-eng:BKM,CTY,County,,Buckinghamshire County Council,Buckinghamshire,,,19-06-05,,E10000002,,825,11-00,11,7000000000011900,E0421,
local-authority-eng,YOR,local-authority-eng:YOR,UA,Unitary authority,,City of York Council,York,York UA,,18-06-05,,E06000014,,816,00-FF,00FF,7000000000025590,E2701,
local-authority-eng,WRT,local-authority-eng:WRT,UA,Unitary authority,,Warrington Borough Council,Warrington,Warrington UA,,20-06-05,,E06000007,,877,00-EU,00EU,7000000000038840,E0602,
local-authority-eng,WRL,local-authority-eng:WRL,MD,Metropolitan district,,Wirral Borough Council,Wirral,,,01-04-74,,E08000015,,344,00-CB,00CB,7000000000006060,E4305,
local-authority-eng,WOK,local-authority-eng:WOK,UA,Unitary authority,,Wokingham Borough Council,Wokingham,Wokingham UA,,20-06-05,,E06000041,,872,00-MF,00MF,7000000000038890,E0306,
local-authority-eng,WNM,local-authority-eng:WNM,UA,Unitary authority,,Royal Borough of Windsor and Maidenhead,Windsor and Maidenhead,Windsor & Maidenhead UA,,20-06-05,,E06000040,,868,00-ME,00ME,7000000000038890,E0305,
local-authority-eng,WLV,local-authority-eng:WLV,MD,Metropolitan district,,City of Wolverhampton Council,Wolverhampton,,,01-04-74,,E08000031,,336,00-CW,00CW,7000000000000150,E4607,
local-authority-eng,WLL,local-authority-eng:WLL,MD,Metropolitan district,,Walsall Metropolitan Borough Council,Walsall,,,01-04-74,,E08000030,,335,00-CU,00CU,7000000000000070,E4606,
local-authority-eng,WKF,local-authority-eng:WKF,MD,Metropolitan district,,Wakefield Metropolitan District Council,Wakefield,,,01-04-74,,E08000036,,384,00-DB,00DB,7000000000016750,E4705,
local-authority-eng,WIL,local-authority-eng:WIL,UA,Unitary authority,,Wiltshire Council,Wiltshire,Wiltshire UA,,01-04-09,,E06000054,,865,00-HY,00HY,7000000000043920,E3902,
local-authority-eng,WGN,local-authority-eng:WGN,MD,Metropolitan district,,Wigan Metropolitan Borough Council,Wigan,,,01-04-74,,E08000010,,359,00-BW,00BW,7000000000018860,E4210,
local-authority-eng,WBK,local-authority-eng:WBK,UA,Unitary authority,,West Berkshire Council,West Berkshire,West Berkshire UA,,20-06-05,,E06000037,,869,00-MB,00MB,7000000000038890,E0302,
local-authority-eng,TRF,local-authority-eng:TRF,MD,Metropolitan district,,Trafford Metropolitan Borough Council,Trafford,,,01-04-74,,E08000009,,358,00-BU,00BU,7000000000018780,E4209,
local-authority-eng,TOB,local-authority-eng:TOB,UA,Unitary authority,,Torbay Council,Torbay,Torbay UA,,20-06-05,,E06000027,,880,00-HH,00HH,7000000000038880,E1102,
local-authority-eng,THR,local-authority-eng:THR,UA,Unitary authority,,Thurrock Council,Thurrock,Thurrock UA,,20-06-05,,E06000034,,883,00-KG,00KG,7000000000038860,E1502,
local-authority-eng,TFW,local-authority-eng:TFW,UA,Unitary authority,,Telford & Wrekin Council,Telford and Wrekin,Telford and the Wrekin UA,Telford & Wrekin UA,20-06-05,,E06000020,,894,00-GF,00GF,7000000000038850,E3201,
local-authority-eng,TAM,local-authority-eng:TAM,MD,Metropolitan district,,Tameside Metropolitan Borough Council,Tameside,,,01-04-74,,E08000008,,357,00-BT,00BT,7000000000018700,E4208,
local-authority-eng,SWD,local-authority-eng:SWD,UA,Unitary authority,,Swindon Borough Council,Swindon,Swindon UA,,20-06-05,,E06000030,,866,00-HX,00HX,7000000000038140,E3901,
local-authority-eng,STY,local-authority-eng:STY,MD,Metropolitan district,,South Tyneside Council,South Tyneside,,,01-04-74,,E08000023,,393,00-CL,00CL,7000000000009680,E4504,
local-authority-eng,STT,local-authority-eng:STT,UA,Unitary authority,,Stockton-on-Tees Borough Council,Stockton-on-Tees,Stockton-On-Tees UA,Stockton On Tees UA,18-06-05,,E06000004,,808,00-EF,00EF,7000000000025580,E0704,
local-authority-eng,STH,local-authority-eng:STH,UA,Unitary authority,,Southampton City Council,Southampton,Southampton UA,,19-06-05,,E06000045,,852,00-MS,00MS,7000000000037250,E1702,
local-authority-eng,STE,local-authority-eng:STE,UA,Unitary authority,,Stoke-on-Trent City Council,Stoke-on-Trent,Stoke-On-Trent UA,,20-06-05,,E06000021,,861,00-GL,00GL,7000000000038400,E3401,
local-authority-eng,SOS,local-authority-eng:SOS,UA,Unitary authority,,Southend-on-Sea Borough Council,Southend-on-Sea,Southend-on-Sea UA,Southend UA,20-06-05,,E06000033,,882,00-KF,00KF,7000000000038900,E1501,
local-authority-eng,SOL,local-authority-eng:SOL,MD,Metropolitan district,,Solihull Metropolitan Borough Council,Solihull,,,27-05-05,,E08000029,,334,00-CT,00CT,7000000000000000,E4605,
local-authority-eng,SND,local-authority-eng:SND,MD,Metropolitan district,,Sunderland City Council,Sunderland,,,27-05-05,,E08000024,,394,00-CM,00CM,7000000000009730,E4505,
local-authority-eng,SLG,local-authority-eng:SLG,UA,Unitary authority,,Slough Borough Council,Slough,Slough UA,,01-04-98,,E06000039,,871,00-MD,00MD,7000000000038890,E0304,
local-authority-eng,SLF,local-authority-eng:SLF,MD,Metropolitan district,,Salford City Council,Salford,,,27-05-05,,E08000006,,355,00-BR,00BR,7000000000018800,E4206,
local-authority-eng,SKP,local-authority-eng:SKP,MD,Metropolitan district,,Stockport Metropolitan Borough Council,Stockport,,,27-05-05,,E08000007,,356,00-BS,00BS,7000000000018750,E4207,
local-authority-eng,SHR,local-authority-eng:SHR,UA,Unitary authority,,Shropshire Council,Shropshire,Shropshire UA,,01-04-09,,E06000051,,893,00-GG,00GG,7000000000043820,E3202,
local-authority-eng,SHN,local-authority-eng:SHN,MD,Metropolitan district,,St Helens Council,St. Helens,St Helens,,08-06-05,,E08000013,,342,00-BZ,00BZ,7000000000006000,E4303,
local-authority-eng,SHF,local-authority-eng:SHF,MD,Metropolitan district,,Sheffield City Council,Sheffield,,,08-06-05,,E08000019,,373,00-CG,00CG,7000000000009110,E4404,
local-authority-eng,SGC,local-authority-eng:SGC,UA,Unitary authority,,South Gloucestershire Council,South Gloucestershire,South Gloucestershire UA,,18-06-05,,E06000025,,803,00-HD,00HD,7000000000025550,E0103,
local-authority-eng,SFT,local-authority-eng:SFT,MD,Metropolitan district,,Sefton Metropolitan Borough Council,Sefton,,,08-06-05,,E08000014,,343,00-CA,00CA,7000000000005960,E4304,
local-authority-eng,SAW,local-authority-eng:SAW,MD,Metropolitan district,,Sandwell Metropolitan Borough Council,Sandwell,,,07-06-05,,E08000028,,333,00-CS,00CS,7000000000000080,E4604,
local-authority-eng,RUT,local-authority-eng:RUT,UA,Unitary authority,,Rutland County Council,Rutland,Rutland UA,,01-04-97,,E06000017,,857,00-FP,00FP,7000000000037520,E2402,
local-authority-eng,ROT,local-authority-eng:ROT,MD,Metropolitan district,,Rotherham Metropolitan Borough Council,Rotherham,,,27-05-05,,E08000018,,372,00-CF,00CF,7000000000009120,E4403,
local-authority-eng,RDG,local-authority-eng:RDG,UA,Unitary authority,,Reading Borough Council,Reading,Reading UA,,27-05-05,,E06000038,,870,00-MC,00MC,7000000000038890,E0303,
local-authority-eng,RCH,local-authority-eng:RCH,MD,Metropolitan district,,Rochdale Metropolitan Borough Council,Rochdale,,,27-05-05,,E08000005,,354,00-BQ,00BQ,7000000000018820,E4205,
local-authority-eng,RCC,local-authority-eng:RCC,UA,Unitary authority,,Redcar and Cleveland Borough Council,Redcar and Cleveland,Redcar & Cleveland UA,,01-04-96,,E06000003,,807,00-EE,00EE,7000000000025580,E0703,
local-authority-eng,PTE,local-authority-eng:PTE,UA,Unitary authority,,Peterborough City Council,Peterborough,Peterborough UA,,20-06-05,,E06000031,,874,00-JA,00JA,7000000000038880,E0501,
local-authority-eng,POR,local-authority-eng:POR,UA,Unitary authority,,Portsmouth City Council,Portsmouth,Portsmouth UA,,20-06-05,,E06000044,,851,00-MR,00MR,7000000000037250,E1701,
