name,local-authority,,
sandwell,local-authority-eng:SAW,SAW,SAW
sandwell district,local-authority-eng:SAW,SAW,SAW
sandwell metropolitan borough council,local-authority-eng:SAW,SAW,SAW
scarborough,local-authority-eng:SCB,SCB,SCB
scarborough borough council,local-authority-eng:SCB,SCB,SCB
scarborough district,local-authority-eng:SCB,SCB,SCB
scottish borders,local-authority-sct:SCB,SCB,SCB
sefton,local-authority-eng:SFT,SFT,SFT
sefton council,local-authority-eng:SFT,SFT,SFT
sefton district,local-authority-eng:SFT,SFT,SFT
sefton metropolitan borough council,local-authority-eng:SFT,SFT,SFT
sheffield,local-authority-eng:SHF,SHF,SHF
sheffield city council,local-authority-eng:SHF,SHF,SHF
sheffield district,local-authority-eng:SHF,SHF,SHF
shetland,local-authority-sct:ZET,ZET,ZET
shetland islands,local-authority-sct:ZET,ZET,ZET
shetland islands council,local-authority-sct:ZET,ZET,ZET
shropshire,local-authority-eng:SHR,SHR,SHR
shropshire council,local-authority-eng:SHR,SHR,SHR
sir benfro,local-authority-wls:PEM,PEM,PEM
sir ddinbych,local-authority-wls:DEN,DEN,DEN
sir fynwy,local-authority-wls:MON,MON,MON
sir gaerfyrddin,local-authority-wls:CMN,CMN,CMN
sir y fflint,local-authority-wls:FLN,FLN,FLN
slough,local-authority-eng:SLG,SLG,SLG
slough borough council,local-authority-eng:SLG,SLG,SLG
somerset,local-authority-eng:SOM,SOM,SOM
somerset county,local-authority-eng:SOM,SOM,SOM
somerset county council,local-authority-eng:SOM,SOM,SOM
south ayrshire,local-authority-sct:SAY,SAY,SAY
south ayrshire council,local-authority-sct:SAY,SAY,SAY
south ayshire,local-authority-sct:SAY,SAY,SAY
south gloucestershire,local-authority-eng:SGC,SGC,SGC
south gloucestershire council,local-authority-eng:SGC,SGC,SGC
south hams,local-authority-eng:SHA,SHA,SHA
south hams district,local-authority-eng:SHA,SHA,SHA
south hams district council,local-authority-eng:SHA,SHA,SHA
south holland,local-authority-eng:SHO,SHO,SHO
south holland district,local-authority-eng:SHO,SHO,SHO
south holland district council,local-authority-eng:SHO,SHO,SHO
south lakeland,local-authority-eng:SLA,SLA,SLA
south lakeland district,local-authority-eng:SLA,SLA,SLA
south lakeland district council,local-authority-eng:SLA,SLA,SLA
south lanarkshire,local-authority-sct:SLK,SLK,SLK
south lanarkshire council,local-authority-sct:SLK,SLK,SLK
south oxfordshire,local-authority-eng:SOX,SOX,SOX
south oxfordshire district,local-authority-eng:SOX,SOX,SOX
south oxfordshire district council,local-authority-eng:SOX,SOX,SOX
south staffordshire,local-authority-eng:SST,SST,SST
south staffordshire council,local-authority-eng:SST,SST,SST
south staffordshire district,local-authority-eng:SST,SST,SST
south tyneside,local-authority-eng:STY,STY,STY
south tyneside council,local-authority-eng:STY,STY,STY
south tyneside district,local-authority-eng:STY,STY,STY
southampton,local-authority-eng:STH,STH,STH
southampton city council,local-authority-eng:STH,STH,STH
southwark,local-authority-eng:SWK,SWK,SWK
southwark london boro,local-authority-eng:SWK,SWK,SWK
st helens,local-authority-eng:SHN,SHN,SHN
st helens council,local-authority-eng:SHN,SHN,SHN
st. helens,local-authority-eng:SHN,SHN,SHN
st. helens district,local-authority-eng:SHN,SHN,SHN
stafford,local-authority-eng:STA,STA,STA
stafford borough council,local-authority-eng:STA,STA,STA
stafford district,local-authority-eng:STA,STA,STA
staffordshire,local-authority-eng:STS,STS,STS
staffordshire county,local-authority-eng:STS,STS,STS
staffordshire county council,local-authority-eng:STS,STS,STS
stevenage,local-authority-eng:STV,STV,STV
stevenage borough council,local-authority-eng:STV,STV,STV
stevenage district,local-authority-eng:STV,STV,STV
stirling,local-authority-sct:STG,STG,STG
stirling council,local-authority-sct:STG,STG,STG
stockport,local-authority-eng:SKP,SKP,SKP
stockport district,local-authority-eng:SKP,SKP,SKP
stockport metropolitan borough council,local-authority-eng:SKP,SKP,SKP
stockton on tees,local-authority-eng:STT,STT,STT
stockton-on-tees,local-authority-eng:STT,STT,STT
stockton-on-tees borough council,local-authority-eng:STT,STT,STT
suffolk,local-authority-eng:SFK,SFK,SFK
suffolk county,local-authority-eng:SFK,SFK,SFK
suffolk county council,local-authority-eng:SFK,SFK,SFK
sunderland,local-authority-eng:SND,SND,SND
sunderland city council,local-authority-eng:SND,SND,SND
sunderland district,local-authority-eng:SND,SND,SND
surrey,local-authority-eng:SRY,SRY,SRY
surrey county,local-authority-eng:SRY,SRY,SRY
surrey county council,local-authority-eng:SRY,SRY,SRY
sutton,local-authority-eng:STN,STN,STN
sutton london boro,local-authority-eng:STN,STN,STN
swansea,local-authority-wls:SWA,SWA,SWA
swindon,local-authority-eng:SWD,SWD,SWD
swindon borough council,local-authority-eng:SWD,SWD,SWD
tameside,local-authority-eng:TAM,TAM,TAM
tameside district,local-authority-eng:TAM,TAM,TAM
tameside metropolitan borough council,local-authority-eng:TAM,TAM,TAM
telford and wrekin,local-authority-eng:TFW,TFW,TFW
telford and wrekin council,local-authority-eng:TFW,TFW,TFW
the city of brighton and hove,local-authority-eng:BNH,BNH,BNH
the highland council,local-authority-sct:HLD,HLD,HLD
the scottish borders,local-authority-sct:SCB,SCB,SCB
the vale of glamorgan,local-authority-wls:VGL,VGL,VGL
torbay,local-authority-eng:TOB,TOB,TOB
torbay council,local-authority-eng:TOB,TOB,TOB
torfaen,local-authority-wls:TOF,TOF,TOF
torfaen county borough council,local-authority-wls:TOF,TOF,TOF
tower hamlets,local-authority-eng:TWH,TWH,TWH
tower hamlets london boro,local-authority-eng:TWH,TWH,TWH
trafford,local-authority-eng:TRF,TRF,TRF
trafford council,local-authority-eng:TRF,TRF,TRF
trafford district,local-authority-eng:TRF,TRF,TRF
vale of glamorgan,local-authority-wls:VGL,VGL,VGL
vale of glamorgan council,local-authority-wls:VGL,VGL,VGL
wakefield,local-authority-eng:WKF,WKF,WKF
wakefield district,local-authority-eng:WKF,WKF,WKF
wakefield metropolitan district council,local-authority-eng:WKF,WKF,WKF
walsall,local-authority-eng:WLL,WLL,WLL
walsall council,local-authority-eng:WLL,WLL,WLL
walsall district,local-authority-eng:WLL,WLL,WLL
waltham forest,local-authority-eng:WFT,WFT,WFT
waltham forest london boro,local-authority-eng:WFT,WFT,WFT
wandsworth,local-authority-eng:WND,WND,WND
wandsworth london boro,local-authority-eng:WND,WND,WND
warrington,local-authority-eng:WRT,WRT,WRT
warrington borough council,local-authority-eng:WRT,WRT,WRT
west berkshire,local-authority-eng:WBK,WBK,WBK
west berkshire council,local-authority-eng:WBK,WBK,WBK
west devon,local-authority-eng:WDE,WDE,WDE
west devon borough council,local-authority-eng:WDE,WDE,WDE
west devon district,local-authority-eng:WDE,WDE,WDE
west dorset,local-authority-eng:WDO,WDO,WDO
west dorset district,local-authority-eng:WDO,WDO,WDO
west dorset district council,local-authority-eng:WDO,WDO,WDO
west dunbartonshire,local-authority-sct:WDU,WDU,WDU
west dunbartonshire council,local-authority-sct:WDU,WDU,WDU
west lancashire,local-authority-eng:WLA,WLA,WLA
west lancashire borough council,local-authority-eng:WLA,WLA,WLA
west lancashire district,local-authority-eng:WLA,WLA,WLA
west lindsey,local-authority-eng:WLI,WLI,WLI
west lindsey district,local-authority-eng:WLI,WLI,WLI
west lindsey district council,local-authority-eng:WLI,WLI,WLI
west lothian,local-authority-sct:WLN,WLN,WLN
west lothian council,local-authority-sct:WLN,WLN,WLN
west sussex,local-authority-eng:WSX,WSX,WSX
west sussex county,local-authority-eng:WSX,WSX,WSX
west sussex county council,local-authority-eng:WSX,WSX,WSX
western isles,local-authority-sct:ELS,ELS,ELS
westminster,local-authority-eng:WSM,WSM,WSM
wigan,local-authority-eng:WGN,WGN,WGN
wigan council,local-authority-eng:WGN,WGN,WGN
wigan district,local-authority-eng:WGN,WGN,WGN
wiltshire,local-authority-eng:WIL,WIL,WIL
wiltshire council,local-authority-eng:WIL,WIL,WIL
windsor and maidenhead,local-authority-eng:WNM,WNM,WNM
wirral,local-authority-eng:WRL,WRL,WRL
wirral council,local-authority-eng:WRL,WRL,WRL
wirral district,local-authority-eng:WRL,WRL,WRL
wokingham,local-authority-eng:WOK,WOK,WOK
wokingham borough council,local-authority-eng:WOK,WOK,WOK
wolverhampton,local-authority-eng:WLV,WLV,WLV
wolverhampton city council,local-authority-eng:WLV,WLV,WLV
worcester,local-authority-eng:WOC,WOC,WOC
worcester city,local-authority-eng:WOC,WOC,WOC
worcester city council,local-authority-eng:WOC,WOC,WOC
worcester district,local-authority-eng:WOC,WOC,WOC
worcestershire,local-authority-eng:WOR,WOR,WOR
worcestershire county,local-authority-eng:WOR,WOR,WOR
worcestershire county council,local-authority-eng:WOR,WOR,WOR
wrecsam,local-authority-wls:WRX,WRX,WRX
wrexham,local-authority-wls:WRX,WRX,WRX
wrexham county borough council,local-authority-wls:WRX,WRX,WRX
wyre,local-authority-eng:WYC,WYC,WYC
wyre council,local-authority-eng:WYC,WYC,WYC
wyre district,local-authority-eng:WYC,WYC,WYC
ynys mn,local-authority-wls:AGY,AGY,AGY
york,local-authority-eng:YOR,YOR,YOR
