gss-code,local-authority-code
E07000191,WSO
E10000032,WSX
E07000238,WYC
E07000239,WYE
E07000007,WYO
E07000128,WYR
E06000014,YOR
E06000061 ,NNT
E06000062 ,WNT
N09000002,ABC
N09000011,AND
N09000001,ANN
N09000003,BFS
N09000004,CCG
N09000005,DRS
N09000006,FMO
N09000007,LBC
N09000008,MEA
N09000009,MUL
N09000010,NMD
S12000034,ABD
S12000033,ABE
S12000035,AGB
S12000041,ANS
S12000005,CLK
S12000006,DGY
S12000042,DND
S12000008,EAY
S12000036,EDH
S12000045,EDU
S12000009,EDU
S12000010,ELN
S12000013,ELS
S12000011,ERW
S12000014,FAL
S12000047,FIF
S12000015,FIF
S12000049,GLG
S12000046,GLG
S12000043,GLG
S12000017,HLD
S12000018,IVC
S12000019,MLN
S12000020,MRY
S12000021,NAY
S12000050,NLK
S12000044,NLK
S12000023,ORK
S12000048,PKN
S12000024,PKN
S12000038,RFW
S12000028,SAY
S12000026,SCB
S12000029,SLK
S12000030,STG
S12000039,WDU
S12000040,WLN
S12000027,ZET
W06000001,AGY
W06000013,BGE
W06000019,BGW
W06000018,CAY
W06000008,CGN
W06000010,CMN
W06000015,CRF
W06000003,CWY
W06000004,DEN
W06000005,FLN
W06000002,GWN
W06000021,MON
W06000024,MTY
W06000012,NTL
W06000022,NWP
W06000009,PEM
W06000023,POW
W06000016,RCT
W06000011,SWA
W06000020,TOF
W06000014,VGL
W06000006,WRX
E06000060,BUC
